hts8,mfn_ad_val_rate,mfn_specific_rate,mexico_ad_val_rate,mexico_specific_rate,begin_effect_date,hs6
1012100,0.0,0.0,,,2012-02-03,101210
1012900,0.0,0.0,,,2012-02-03,101290
1013000,0.068,0.0,0.0,0.0,2020-07-01,101300
1019030,0.0,0.0,,,2012-01-01,101903
1019040,0.045,0.0,0.0,0.0,2020-07-01,101904
1022100,0.0,0.0,,,2012-02-03,102210
1022920,0.0,0.0,,,2012-02-03,102292
1022940,0.0,0.01,0.0,0.0,2021-01-01,102294
1023100,0.0,0.0,,,2012-02-03,102310
1023900,0.0,0.01,0.0,0.0,2021-01-01,102390
1029000,0.0,0.01,0.0,0.0,2021-01-01,102900
1031000,0.0,0.0,,,1995-09-03,103100
1039100,0.0,0.0,,,1995-09-03,103910
1039200,0.0,0.0,,,1995-09-03,103920
1041000,0.0,0.0,,,1996-06-01,104100
1042000,0.0,0.68,0.0,0.0,2020-07-01,104200
1051100,0.0,0.009,0.0,0.0,2020-07-01,105110
1051200,0.0,0.009,0.0,0.0,2020-07-01,105120
1051300,0.0,0.009,0.0,0.0,2020-07-01,105130
1051400,0.0,0.009,0.0,0.0,2020-07-01,105140
1051500,0.0,0.009,0.0,0.0,2020-07-01,105150
1059400,0.0,0.02,0.0,0.0,2020-07-01,105940
1059900,0.0,0.02,0.0,0.0,2020-07-01,105990
1061100,0.0,0.0,,,2002-01-10,106110
1061201,0.0,0.0,,,2012-02-03,106120
1061300,0.0,0.0,,,2012-02-03,106130
1061400,0.0,0.0,,,2012-02-03,106140
1061930,0.048,0.0,0.0,0.0,2020-07-01,106193
1061991,0.0,0.0,,,2012-02-03,106199
1062000,0.0,0.0,,,2002-01-10,106200
1063100,0.018,0.0,0.0,0.0,2020-07-01,106310
1063200,0.018,0.0,0.0,0.0,2020-07-01,106320
1063300,0.018,0.0,0.0,0.0,2020-07-01,106330
1063901,0.018,0.0,0.0,0.0,2020-07-01,106390
1064100,0.0,0.0,,,2012-02-03,106410
1064900,0.0,0.0,,,2012-02-03,106490
1069001,0.0,0.0,,,2012-02-03,106900
2011005,0.0,0.044,0.0,0.0,2020-07-01,201100
2011010,0.0,0.044,0.0,0.0,2020-07-01,201101
2011050,0.264,0.0,0.0,0.0,2023-01-01,201105
2012002,0.04,0.0,0.0,0.0,2020-07-01,201200
2012004,0.1,0.0,0.0,0.0,2020-07-01,201200
2012006,0.0,0.044,0.0,0.0,2020-07-01,201200
2012010,0.04,0.0,0.0,0.0,2020-07-01,201201
2012030,0.1,0.0,0.0,0.0,2020-07-01,201203
2012050,0.0,0.044,0.0,0.0,2020-07-01,201205
2012080,0.264,0.0,0.0,0.0,2023-01-01,201208
2013002,0.04,0.0,0.0,0.0,2020-07-01,201300
2013004,0.1,0.0,0.0,0.0,2020-07-01,201300
2013006,0.0,0.044,0.0,0.0,2020-07-01,201300
2013010,0.04,0.0,0.0,0.0,2020-07-01,201301
2013030,0.1,0.0,0.0,0.0,2020-07-01,201303
2013050,0.0,0.044,0.0,0.0,2020-07-01,201305
2013080,0.264,0.0,0.0,0.0,2023-01-01,201308
2021005,0.0,0.044,0.0,0.0,2020-07-01,202100
2021010,0.0,0.044,0.0,0.0,2020-07-01,202101
2021050,0.264,0.0,0.0,0.0,2023-01-01,202105
2022002,0.04,0.0,0.0,0.0,2020-07-01,202200
2022004,0.1,0.0,0.0,0.0,2020-07-01,202200
2022006,0.0,0.044,0.0,0.0,2020-07-01,202200
2022010,0.04,0.0,0.0,0.0,2020-07-01,202201
2022030,0.1,0.0,0.0,0.0,2020-07-01,202203
2022050,0.0,0.044,0.0,0.0,2020-07-01,202205
2022080,0.264,0.0,0.0,0.0,2023-01-01,202208
2023002,0.04,0.0,0.0,0.0,2020-07-01,202300
2023004,0.1,0.0,0.0,0.0,2020-07-01,202300
2023006,0.0,0.044,0.0,0.0,2020-07-01,202300
2023010,0.04,0.0,0.0,0.0,2020-07-01,202301
2023030,0.1,0.0,0.0,0.0,2020-07-01,202303
2023050,0.0,0.044,0.0,0.0,2020-07-01,202305
2023080,0.264,0.0,0.0,0.0,2023-01-01,202308
2031100,0.0,0.0,,,1997-06-12,203110
2031210,0.0,0.014,0.0,0.0,2020-07-01,203121
2031290,0.0,0.0,,,1997-06-12,203129
2031920,0.0,0.014,0.0,0.0,2020-07-01,203192
2031940,0.0,0.0,,,1997-06-12,203194
2032100,0.0,0.0,,,1997-06-12,203210
2032210,0.0,0.014,0.0,0.0,2020-07-01,203221
2032290,0.0,0.0,,,1997-06-12,203229
2032920,0.0,0.014,0.0,0.0,2020-07-01,203292
2032940,0.0,0.0,,,1997-06-12,203294
2041000,0.0,0.007,0.0,0.0,2020-07-01,204100
2042100,0.0,0.028,0.0,0.0,2020-07-01,204210
2042220,0.0,0.007,0.0,0.0,2020-07-01,204222
2042240,0.0,0.028,0.0,0.0,2020-07-01,204224
2042320,0.0,0.007,0.0,0.0,2020-07-01,204232
2042340,0.0,0.028,0.0,0.0,2020-07-01,204234
2043000,0.0,0.007,0.0,0.0,2020-07-01,204300
2044100,0.0,0.028,0.0,0.0,2020-07-01,204410
2044220,0.0,0.007,0.0,0.0,2020-07-01,204422
2044240,0.0,0.028,0.0,0.0,2020-07-01,204424
