commodity,hs8,hs6,naics,industry_code,total_trade,mexico_trade,change,% change,mfn_ad_val_rate,mfn_specific_rate,mexico_ad_val_rate,mexico_specific_rate,begin_effect_date,mexico_share_good_j,RCA,RCA_compare
0101210000,01012100,010121,112920,112,249655042.0,1253771.0,-3333218.0,-72.66679732608907,0.0,0.0,0.0,0.0,2012-02-03,0.005022013534979998,0.03909908282710944,0
0101290000,01012900,010129,112920,112,121004651.0,29977648.0,-13202303.0,-30.575076382092238,0.0,0.0,0.0,0.0,2012-02-03,0.2477396344046313,1.928786614706539,1
0101300000,01013000,010130,112920,112,544838.0,300706.0,-73773.0,-19.70017010299643,0.068,0.0,0.0,0.0,2020-07-01,0.5519181848549477,4.2969806180575025,1
0101900000,01019000,010190,112920,112,3314205.0,457723.0,208836.0,83.90795823004014,0.0,0.0,0.0,0.0,,0.13810944102733536,1.075256455666856,1
0102210010,01022100,010221,11211X,112,4407473.0,9870909.0,6536565.0,196.03751142653547,0.0,0.0,0.0,0.0,2012-02-03,2.23958467811374,17.43637411925914,1
0102210020,01022100,010221,11211X,112,31441244.0,3493791.0,-9039220.0,-72.12329104314996,0.0,0.0,0.0,0.0,2012-02-03,0.1111212711558105,0.8651390034121096,0
0102210030,01022100,010221,11211X,112,1187772.0,867066.0,33794.0,4.055578490576906,0.0,0.0,0.0,0.0,2012-02-03,0.729993635142098,5.683394002202201,1
0102210050,01022100,010221,11211X,112,17117746.0,999745.0,-1063976.0,-51.55619388473539,0.0,0.0,0.0,0.0,2012-02-03,0.05840400949984887,0.4547067006021066,0
0102290000,01022900,010229,11211X,112,208046773.0,26918913.0,11841459.0,78.53752364291744,0.0,0.0,0.0,0.0,,0.12938875528725458,1.007361215702719,1
0102310000,01023100,010231,11211X,112,40048.0,37384.0,32361.0,644.2564204658571,0.0,0.0,0.0,0.0,2012-02-03,0.9334798242109469,7.267643687146043,1
0102390000,01023900,010239,11211X,112,497939.0,759653.0,373831.0,96.89209013482902,0.0,0.01,0.0,0.0,2021-01-01,1.5255945005311895,11.877575661908127,1
0102900002,01029000,010290,11211X,112,1003740.0,680918.0,610918.0,872.7399999999999,0.0,0.01,0.0,0.0,2021-01-01,0.6783808556000558,5.281560688095116,1
0103100000,01031000,010310,112210,112,6696046.0,2002985.0,-514321.0,-20.43140563761418,0.0,0.0,0.0,0.0,1995-09-03,0.29912951613534317,2.328884549184221,1
0103910000,01039100,010391,112210,112,4667187.0,423955.0,-1151840.0,-73.0958024362306,0.0,0.0,0.0,0.0,1995-09-03,0.09083737163306291,0.7072179102146114,0
0103920000,01039200,010392,112210,112,2390966.0,1911902.0,-60336.0,-3.0592656667197367,0.0,0.0,0.0,0.0,1995-09-03,0.7996357957411356,6.225595767799687,1
0104100000,01041000,010410,112410,112,1342354.0,59020.0,-736732.0,-92.58311634780686,0.0,0.0,0.0,0.0,1996-06-01,0.043967537624203454,0.34231098409009525,0
0104200000,01042000,010420,112420,112,376894.0,,,,0.0,0.68,0.0,0.0,2020-07-01,,,0
0105110010,01051100,010511,1123XX,112,58112655.0,1588432.0,-244456.0,-13.337203364308131,0.0,0.009,0.0,0.0,2020-07-01,0.027333667683914976,0.21280733898825158,0
0105110020,01051100,010511,1123XX,112,198276177.0,20058343.0,1548741.0,8.367230154381494,0.0,0.009,0.0,0.0,2020-07-01,0.10116365618649184,0.7876136025476921,0
0105110040,01051100,010511,1123XX,112,4919503.0,133466.0,122966.0,1171.104761904762,0.0,0.009,0.0,0.0,2020-07-01,0.027129976341106,0.21122149207083882,0
0105120000,01051200,010512,1123XX,112,11883556.0,243372.0,19120.0,8.526122398016517,0.0,0.009,0.0,0.0,2020-07-01,0.020479728458384007,0.1594457270363083,0
0105130000,01051300,010513,1123XX,112,549606.0,12364.0,,,0.0,0.009,0.0,0.0,2020-07-01,0.022496115399031305,0.17514438643950014,0
0105140000,01051400,010514,1123XX,112,,,,,0.0,0.009,0.0,0.0,2020-07-01,,,0
0105150000,01051500,010515,1123XX,112,54184.0,44394.0,8184.0,22.60149130074565,0.0,0.009,0.0,0.0,2020-07-01,0.8193193562675328,6.37884289825711,1
0105940000,01059400,010594,1123XX,112,705018.0,13656.0,,,0.0,0.02,0.0,0.0,2020-07-01,0.019369718219960343,0.1508036989038136,0
0105990000,01059900,010599,1123XX,112,956178.0,121236.0,-86603.0,-41.66831056731412,0.0,0.02,0.0,0.0,2020-07-01,0.12679229181177562,0.987146347746231,0
0106110000,01061100,010611,112990,112,10880119.0,,,,0.0,0.0,0.0,0.0,2002-01-10,,,0
0106120100,01061201,010612,112990,112,,,,,0.0,0.0,0.0,0.0,2012-02-03,,,0
0106130000,01061300,010613,112990,112,206067.0,31325.0,2725.0,9.527972027972027,0.0,0.0,0.0,0.0,2012-02-03,0.15201366545832182,1.1835083388780834,1
0106140000,01061400,010614,112930,112,1134989.0,,,,0.0,0.0,0.0,0.0,2012-02-03,,,0
0106199100,01061991,010619,112990,112,52540989.0,2480759.0,1669637.0,205.84289416388657,0.0,0.0,0.0,0.0,2012-02-03,0.047215689068966706,0.3675995942240979,0
0106200000,01062000,010620,112990,112,6896058.0,103112.0,71212.0,223.23510971786834,0.0,0.0,0.0,0.0,2002-01-10,0.014952310435904106,0.11641179780141629,0
0106310000,01063100,010631,112990,112,1863443.0,,,,0.018,0.0,0.0,0.0,2020-07-01,,,0
0106320000,01063200,010632,112990,112,38413.0,,,,0.018,0.0,0.0,0.0,2020-07-01,,,0
0106330000,01063300,010633,112990,112,,,,,0.018,0.0,0.0,0.0,2020-07-01,,,0
0106390100,01063901,010639,112990,112,1701315.0,24809.0,15809.0,175.65555555555557,0.018,0.0,0.0,0.0,2020-07-01,0.014582249612799511,0.1135306747871406,0
0106410000,01064100,010641,112910,112,7219756.0,6313.0,,,0.0,0.0,0.0,0.0,2012-02-03,0.0008744062818743459,0.006807724312452698,0
0106490000,01064900,010649,112990,112,8245057.0,528100.0,69848.0,15.24226844618245,0.0,0.0,0.0,0.0,2012-02-03,0.06405049716454356,0.4986676511942138,0
0106900100,01069001,010690,112990,112,8013403.0,536140.0,286475.0,114.7437566338894,0.0,0.0,0.0,0.0,2012-02-03,0.06690540835148313,0.520894673918205,0
0201100010,02011000,020110,311611,311,711960.0,,,,0.0,0.0,0.0,0.0,,,,0
0201100090,02011000,020110,311611,311,5912470.0,503064.0,151868.0,43.24308932903564,0.0,0.0,0.0,0.0,,0.08508525201819206,0.6624345579423098,0
0201203550,02012035,020120,311611,311,102719693.0,2473563.0,-4579227.0,-64.92787960509246,0.0,0.0,0.0,0.0,,0.02408070865242948,0.18748129919976034,0
0201206000,02012060,020120,311611,311,114356327.0,21089625.0,-576478.0,-2.6607369124018287,0.0,0.0,0.0,0.0,,0.18442027260983995,1.4358112465339965,1
0201303550,02013035,020130,311611,311,441078843.0,106653378.0,-3351493.0,-3.0466769057890173,0.0,0.0,0.0,0.0,,0.24180116478631464,1.8825524271927927,1
0201306000,02013060,020130,311611,311,2858688693.0,214599958.0,-389891200.0,-64.49907411218081,0.0,0.0,0.0,0.0,,0.07506936957685724,0.5844555133952104,0
0202100010,02021000,020210,311611,311,3830893.0,392573.0,-144929.0,-26.963434554662125,0.0,0.0,0.0,0.0,,0.10247558467438271,0.7978276731100276,0
0202100090,02021000,020210,311611,311,349911.0,195141.0,184691.0,1767.3779904306218,0.0,0.0,0.0,0.0,,0.5576875262566767,4.341898051225068,1
0202203550,02022035,020220,311611,311,27789304.0,768467.0,-1547247.0,-66.81511620174166,0.0,0.0,0.0,0.0,,0.027653337413560266,0.2152961401732071,0
0202206000,02022060,020220,311611,311,768713444.0,7168207.0,2600754.0,56.941012857713034,0.0,0.0,0.0,0.0,,0.009324940334983916,0.072599687749914,0
0202303550,02023035,020230,311611,311,130168764.0,13395795.0,-4119225.0,-23.518243199265545,0.0,0.0,0.0,0.0,,0.10291097947277121,0.8012174563446026,0
0202306000,02023060,020230,311611,311,2475486540.0,39445183.0,-22972670.0,-36.80464626042168,0.0,0.0,0.0,0.0,,0.01593431528009843,0.12405723492983883,0
0203110000,02031100,020311,311611,311,15180863.0,7743112.0,-1191119.0,-13.332081966539706,0.0,0.0,0.0,0.0,1997-06-12,0.5100574321762866,3.971072090573888,1
0203121000,02031210,020312,311611,311,247398685.0,230627707.0,-5623167.0,-2.3801677025753563,0.0,0.014,0.0,0.0,2020-07-01,0.9322107229470521,7.257763049611439,1
0203129000,02031290,020312,311611,311,508667564.0,431248526.0,-24888799.0,-5.4564267460462705,0.0,0.0,0.0,0.0,1997-06-12,0.8478003248502788,6.60058259327319,1
0203192000,02031920,020319,311611,311,374167258.0,18000656.0,2163223.0,13.658924397659646,0.0,0.014,0.0,0.0,2020-07-01,0.04810858143017955,0.3745512426303767,0
0203194000,02031940,020319,311611,311,1098300995.0,105743740.0,-18707677.0,-15.032112490932908,0.0,0.0,0.0,0.0,1997-06-12,0.09627938104526619,0.749586887373191,0
0203210000,02032100,020321,311611,311,450476588.0,496977.0,244765.0,97.04732526604603,0.0,0.0,0.0,0.0,1997-06-12,0.0011032249249765672,0.008589200809225256,0
0203221000,02032210,020322,311611,311,15447248.0,2636194.0,-502094.0,-15.998977786614867,0.0,0.014,0.0,0.0,2020-07-01,0.17065784144852209,1.328663300370426,1
0203229000,02032290,020322,311611,311,197695546.0,36824290.0,-6599030.0,-15.196972502332848,0.0,0.0,0.0,0.0,1997-06-12,0.18626767646044995,1.4501942814794426,1
